cand,job,rel,S_skills,S_experience,S_education,S_keyword,S_semantic,full,abl_S_skills,abl_S_experience,abl_S_education,abl_S_keyword,abl_S_semantic
0,Accountant,1,100.0,8.333333333333332,100.0,3.8025886278365104,45.751686096191406,59.099807875270855,37.0766275004167,71.79142651075524,51.88212691208336,68.85814068364162,61.45535877746135
0,Business Analyst,0,50.0,8.333333333333332,70.0,1.0408118432792144,49.30699157714844,37.21883717973081,30.33667258420125,44.44021314133019,31.43392609380096,43.6031945920458,35.08563346253947
0,Customer Support Representative,0,66.66666666666666,60.0,100.0,3.9140103710721665,40.19282913208008,56.94935925880616,51.7169629622659,56.186699073507704,49.35218736330137,66.30853847428864,59.90639398705194
0,Market Research Analyst,0,66.66666666666666,12.5,100.0,11.560895133126058,56.49756622314453,51.04210253677391,42.628875697600904,60.677628170967395,42.4024735726752,58.0093744315353,50.07937365094381
0,Operations Manager,0,75.0,5.0,100.0,4.096880994954231,40.229042053222656,48.89888845722653,34.84444378034851,59.87361057153317,39.881045243795924,56.805125068215766,50.428861352050745
1,Accountant,1,66.66666666666666,100.0,100.0,2.4882662154487827,46.364540100097656,65.66125428066529,65.11987838051071,57.07656785083162,59.601475624312116,76.80942864511526,69.06655678311841
1,Business Analyst,0,25.0,100.0,100.0,0.6282322434056427,39.98038101196289,49.84129198830528,63.21737228970043,37.301614985381605,40.989755280359155,58.5259495903464,51.581452748836284
1,Customer Support Representative,0,0.0,100.0,100.0,0.548573974426651,24.612552642822266,38.774168992587335,59.65256768090359,23.467711240734175,27.969610579514516,45.51986223108628,41.27327776019294
1,Market Research Analyst,0,33.33333333333333,100.0,100.0,0.7545613037778072,30.02276039123535,51.28326492091864,60.94861269884919,39.1040811511483,42.68619402461017,60.200094971002315,55.03511866145099
1,Operations Manager,0,50.0,100.0,100.0,3.8509067461339996,39.96452713012695,59.07231508143914,63.95740781759868,48.840393851798936,51.84978244875193,68.81726949355182,62.444277661082474
2,Accountant,1,66.66666666666666,100.0,100.0,3.810497962386373,58.01914978027344,67.6077804947323,68.11453409445994,59.509725618415374,61.891506464390936,78.86612447102864,69.29989179728386
2,Business Analyst,0,25.0,100.0,70.0,0.9317062064185875,47.03647994995117,46.44522792345546,57.992658343777634,33.05653490431933,42.28850343935937,54.477025873520795,46.34088933054446
2,Customer Support Representative,0,66.66666666666666,100.0,100.0,7.986196173773603,43.49789810180664,66.05594747467036,65.72709867898004,57.569934343337955,60.06582055843572,76.30355064541685,70.03677971694043
2,Market Research Analyst,0,33.33333333333333,100.0,100.0,1.1190598019005937,37.395973205566406,52.443921617786714,62.73423838633853,40.55490202223339,44.051672491513784,61.501250173531325,55.099441925825595
2,Operations Manager,0,50.0,100.0,100.0,3.3508924613851847,50.69127655029297,60.60632535175172,66.31742361807957,50.757906689689655,53.65450041382555,70.71022527358112,62.3560398461268
3,Accountant,1,100.0,100.0,100.0,2.7264185930879417,51.31835174560547,78.10671555080401,66.31802392431386,72.63339443850502,74.24319476565178,91.40912089628331,82.83407386936847
3,Business Analyst,0,50.0,100.0,70.0,0.9519169676954882,47.01374053955078,55.19484862608694,57.99207480936452,43.993560782608675,52.58217485421993,64.76713068345013,56.6385735825345
3,Customer Support Representative,0,33.33333333333333,100.0,100.0,5.834150622525445,43.28943634033203,54.03520471109529,65.18236622219789,42.54400588886911,45.9237702483474,62.54127307966644,55.9315167765241
3,Market Research Analyst,0,66.66666666666666,100.0,100.0,1.1433346756268588,34.926544189453125,63.74381516309533,62.16997204578769,54.679768953869164,57.34566489775921,74.79095877853094,68.82921592314983
3,Operations Manager,0,75.0,80.0,100.0,6.943002645145804,47.89011764526367,65.47496804356142,60.34610468240219,61.84371005445178,59.382315345366386,75.80413840798771,68.57817693737867
4,Accountant,1,66.66666666666666,60.0,100.0,4.608206959382326,55.550662994384766,59.35716382639839,55.42127768163856,59.196454782997996,52.18489861929223,69.01874444998946,60.02889926734198
4,Business Analyst,0,25.0,60.0,70.0,0.9619057091359419,44.504642486572266,38.06998222935623,45.10766496824036,32.587477786695295,32.435273211007335,44.618466321159815,36.93445394867105
4,Customer Support Representative,0,0.0,100.0,100.0,4.244782595796347,36.14982223510742,41.05919072463556,63.16798573020856,26.323988405794456,30.657871440747723,47.555850982666016,41.925549869846414
4,Market Research Analyst,0,33.33333333333333,100.0,100.0,1.1553320187169707,31.222618103027344,51.52335918492832,61.31798848963331,39.40419898116039,42.96865786462154,60.411834567200906,55.10584290526378
4,Operations Manager,0,25.0,20.0,100.0,5.551540063083521,45.48967361450195,35.40618205163782,41.00951084867357,39.25772756454728,24.007273001926848,40.67464828491211,33.626742364073564
5,Accountant,1,66.66666666666666,8.333333333333332,100.0,3.4145413789652723,41.14214324951172,46.68350269427155,35.923337478366484,56.27104503450611,37.27470905208417,54.31920174991384,47.66138965511152
5,Business Analyst,0,50.0,8.333333333333332,100.0,1.0876751777415241,36.84563446044922,39.85666311239529,34.394866326761964,47.73749555716078,29.24313307340621,46.698249218510654,40.388021109797535
5,Customer Support Representative,0,66.66666666666666,60.0,100.0,5.480999803680352,38.87652587890625,56.98696218572132,51.77481361905844,56.23370273215165,49.39642610084861,66.07624966490502,60.18292153398281
5,Market Research Analyst,0,66.66666666666666,12.5,100.0,12.081433113939594,45.8186149597168,49.518340544381786,40.28462647853609,58.772925680477236,40.60981240515505,56.12485362034218,50.17123329461678
5,Operations Manager,0,50.0,5.0,100.0,1.3609920785083434,30.86300277709961,38.33359922834119,32.05169112052491,46.66699903542649,27.45129320981317,44.85817696066464,39.6519397785603
6,Accountant,1,33.33333333333333,100.0,100.0,1.8909561364154084,47.8507194519043,54.12791800491462,65.32500205884301,42.659897506143274,46.03284471166426,63.346205393473305,55.23565892603409
6,Business Analyst,0,25.0,100.0,70.0,0.7437762829991997,49.93284606933594,46.85149335285027,58.617682081308104,33.56436669106284,42.76646276805914,54.98814930635341,46.30772522641162
